"age","sex","N","year"
5,"male",140019.302500579,2010
10,"male",138282.514266927,2010
15,"male",134557.94561437,2010
20,"male",117284.63907157,2010
25,"male",105896.244262344,2010
30,"male",107757.097100815,2010
35,"male",105000.062642041,2010
40,"male",87764.4341823563,2010
45,"male",74096.9093554458,2010
50,"male",61907.2695752338,2010
55,"male",47696.8288551544,2010
60,"male",38087.1100166244,2010
65,"male",27270.4406455651,2010
70,"male",20742.2156504264,2010
75,"male",13413.4600250473,2010
80,"male",7770.8217835409,2010
85,"male",5705.9536868546,2010
5,"female",134913.110990511,2010
10,"female",134055.676163066,2010
15,"female",131448.080549509,2010
20,"female",116472.245461473,2010
25,"female",107659.055848972,2010
30,"female",111926.981802877,2010
35,"female",110058.09383624,2010
40,"female",92611.9269072648,2010
45,"female",78595.9695635152,2010
50,"female",66093.3478715499,2010
55,"female",48976.0071786487,2010
60,"female",40708.7321495145,2010
65,"female",29306.2119750417,2010
70,"female",22784.8575714465,2010
75,"female",14644.6630358466,2010
80,"female",9582.48833582941,2010
85,"female",7740.17763929388,2010
5,"male",140670.314403859,2019
10,"male",136717.659619569,2019
15,"male",136957.500861084,2019
20,"male",132666.84136157,2019
25,"male",121523.450610147,2019
30,"male",110875.204166604,2019
35,"male",109267.791847555,2019
40,"male",105680.029288247,2019
45,"male",98819.514384571,2019
50,"male",84530.834461638,2019
55,"male",67419.5773315167,2019
60,"male",55749.1564892106,2019
65,"male",39553.6755608101,2019
70,"male",28777.2397844789,2019
75,"male",18415.7414959279,2019
80,"male",10928.5997622623,2019
85,"male",7757.07502913742,2019
5,"female",136011.489505475,2019
10,"female",132263.866593627,2019
15,"female",132625.072587758,2019
20,"female",129829.157639549,2019
25,"female",122380.969413302,2019
30,"female",113561.218154325,2019
35,"female",110466.946370987,2019
40,"female",110410.279385828,2019
45,"female",102439.619275713,2019
50,"female",89812.6511318274,2019
55,"female",71152.4880007631,2019
60,"female",59938.1398585307,2019
65,"female",42621.7451333678,2019
70,"female",31489.863629247,2019
75,"female",20468.1640780525,2019
80,"female",13333.1298058846,2019
85,"female",10655.2642111448,2019
5,"male",140815.394274037,2021
10,"male",136372.326085908,2021
15,"male",137496.519824187,2021
20,"male",136350.269642145,2021
25,"male",125298.085083214,2021
30,"male",111580.279128005,2021
35,"male",110239.488828519,2021
40,"male",110133.784296543,2021
45,"male",105348.890143579,2021
50,"male",90589.098004034,2021
55,"male",72809.031161222,2021
60,"male",60674.6460980182,2021
65,"male",42961.0172390802,2021
70,"male",30949.0840237012,2021
75,"male",19759.5814635469,2021
80,"male",11788.9491027156,2021
85,"male",8304.9249904879,2021
5,"female",136256.785454183,2021
10,"female",131868.950443911,2021
15,"female",132888.054265237,2021
20,"female",132999.488474138,2021
25,"female",125916.753041211,2021
30,"female",113927.610030265,2021
35,"female",110558.008553419,2021
40,"female",114808.628392316,2021
45,"female",108652.20672195,2021
50,"female",96146.3982375607,2021
55,"female",77310.0630324445,2021
60,"female",65319.0830451788,2021
65,"female",46321.2701215947,2021
70,"female",33837.5131875475,2021
75,"female",22049.0504497351,2021
80,"female",14348.6397268187,2021
85,"female",11439.6206226992,2021
