"year","sex","age","pop"
2010,"male",5,140017.819624513
2010,"male",10,138286.107410062
2010,"male",15,134552.515562366
2010,"male",20,117251.644089662
2010,"male",25,105862.970153803
2010,"male",30,107750.07941741
2010,"male",35,104990.512211156
2010,"male",40,87727.2204170065
2010,"male",45,74048.217423325
2010,"male",50,61863.2605689148
2010,"male",55,47659.1577424643
2010,"male",60,38053.9950374416
2010,"male",65,27247.2982856766
2010,"male",70,20726.7162230515
2010,"male",75,13403.7572399476
2010,"male",80,7764.77412286121
2010,"male",85,5701.95447033916
2020,"male",5,140721.233880727
2020,"male",10,136596.315967276
2020,"male",15,137146.505455732
2020,"male",20,133948.591689497
2020,"male",25,122835.565756004
2020,"male",30,111122.242001772
2020,"male",35,109607.968200211
2020,"male",40,107222.81158359
2020,"male",45,101064.497546136
2020,"male",50,86610.2480160814
2020,"male",55,69264.7477133572
2020,"male",60,57431.1639616488
2020,"male",65,40718.030812323
2020,"male",70,29521.8250472412
2020,"male",75,18876.810937261
2020,"male",80,11223.264264514
2020,"male",85,7945.17716662802
2010,"female",5,134910.613453176
2010,"female",10,134059.794701586
2010,"female",15,131445.4053396
2010,"female",20,116443.379237581
2010,"female",25,107627.556779281
2010,"female",30,111923.277707654
2010,"female",35,110057.162116459
2010,"female",40,92574.7658352816
2010,"female",45,78548.4399961237
2010,"female",50,66047.0900100541
2010,"female",55,48934.2617784938
2010,"female",60,40672.7913946192
2010,"female",65,29281.1608542391
2010,"female",70,22768.0316281661
2010,"female",75,14633.4733492423
2010,"female",80,9575.26449432486
2010,"female",85,7734.53132411905
2020,"female",5,136097.560826317
2020,"female",10,132125.079797242
2020,"female",15,132717.344249357
2020,"female",20,130933.535916422
2020,"female",25,123610.902495775
2020,"female",30,113689.721318217
2020,"female",35,110498.909109193
2020,"female",40,111934.975031156
2020,"female",45,104579.271006584
2020,"female",50,91987.3880271888
2020,"female",55,73256.3983918631
2020,"female",60,61774.8859927444
2020,"female",65,43885.6935482417
2020,"female",70,32294.9479422186
2020,"female",75,21009.8548876253
2020,"female",80,13681.2086299003
2020,"female",85,10924.3228299548
