"year","sex","age","deaths"
1990,"male",0,1222.46575342466
1991,"male",0,1030.33515198753
1992,"male",0,1085.87035633055
1993,"male",0,946.437768240343
1994,"male",0,875.937853107345
1995,"male",0,870.11394891945
1996,"male",0,819.366935483871
1997,"male",0,855.224022878932
1998,"male",0,727.19730941704
1999,"male",0,663.844553243574
2000,"male",0,672.253658536585
2001,"male",0,752.255434782609
2002,"male",0,695.234213547646
2003,"male",0,663.888337468983
2004,"male",0,587.535150645624
2005,"male",0,622.5
2006,"male",0,551.004608294931
2007,"male",0,728.435141509434
2008,"male",0,532.870229007634
2010,"male",0,666.344058690085
2012,"male",0,943.152600170503
2013,"male",0,894.606498194946
2014,"male",0,1052.70183486239
2015,"male",0,949.120598591549
2016,"male",0,975.003378378378
2017,"male",0,916.048668503214
2019,"male",0,825.450442272839
2020,"male",0,691.59512195122
2021,"male",0,718.833333333333
2022,"male",0,698.823529411765
2023,"male",0,717.990566037736
2024,"male",0,613.377181208054
1990,"male",1,236.307692307692
1991,"male",1,204.666666666667
1992,"male",1,145.931428571429
1993,"male",1,176.095238095238
1994,"male",1,132.450331125828
1995,"male",1,137.779220779221
1996,"male",1,169.80612244898
1997,"male",1,163.024875621891
1998,"male",1,111.424460431655
1999,"male",1,107.970802919708
2000,"male",1,121.959459459459
2001,"male",1,123.630136986301
2002,"male",1,123.922580645161
2003,"male",1,113.882352941176
2004,"male",1,140.467532467532
2005,"male",1,127.205298013245
2006,"male",1,119.53642384106
2007,"male",1,128.314465408805
2008,"male",1,130.718954248366
2010,"male",1,105.917006425776
2012,"male",1,147.765363128492
2013,"male",1,121.569620253165
2014,"male",1,156.897959183673
2015,"male",1,131.10303030303
2016,"male",1,152.949720670391
2017,"male",1,134.843930635838
2019,"male",1,124.571638231517
2020,"male",1,109.401709401709
2021,"male",1,106.666666666667
2022,"male",1,124.540540540541
2023,"male",1,128.314465408805
2024,"male",1,105.0625
1990,"male",5,100.358208955224
1991,"male",5,101.093023255814
1992,"male",5,81
1993,"male",5,95.2347826086957
1994,"male",5,80.1818181818182
1995,"male",5,57.8571428571429
1996,"male",5,99.4090909090909
1997,"male",5,79.2
1998,"male",5,75.1717171717172
1999,"male",5,77.3333333333333
2000,"male",5,62.2702702702703
2001,"male",5,72.5208333333333
2002,"male",5,77.4193548387097
2003,"male",5,73.9340659340659
2004,"male",5,79.38
2005,"male",5,78.2325581395349
2006,"male",5,79.7169811320755
2007,"male",5,86.3269230769231
2008,"male",5,98.8166666666667
2010,"male",5,74.9611981887844
2012,"male",5,70.3488372093023
2013,"male",5,71.2727272727273
2014,"male",5,92.5714285714286
2015,"male",5,64.1025641025641
2016,"male",5,71.4065934065934
2017,"male",5,66.6666666666667
2019,"male",5,65.5268419104035
2020,"male",5,81
2021,"male",5,71.1764705882353
2022,"male",5,65.7808219178082
2023,"male",5,85.3333333333333
2024,"male",5,101.333333333333
1990,"male",10,116.16049382716
1991,"male",10,124.16
1992,"male",10,108.307692307692
1993,"male",10,98.9268292682927
1994,"male",10,83.3153153153153
1995,"male",10,77.0973451327434
1996,"male",10,72.1636363636364
1997,"male",10,71.5576923076923
1998,"male",10,83.7606837606838
1999,"male",10,67.6875
2000,"male",10,89.5503875968992
2001,"male",10,85.7837837837838
2002,"male",10,77.2830188679245
2003,"male",10,85.9649122807018
2004,"male",10,72.9302325581395
2005,"male",10,84.983606557377
2006,"male",10,93.75
2007,"male",10,79.38
2008,"male",10,81.1228070175439
2010,"male",10,93.6434194683707
2012,"male",10,107.040540540541
2013,"male",10,94.4137931034483
2014,"male",10,96.4065040650407
2015,"male",10,105.889763779528
2016,"male",10,70.4719101123596
2017,"male",10,80.4761904761905
2019,"male",10,81.3583201625649
2020,"male",10,83.7606837606838
2021,"male",10,69.5402298850575
2022,"male",10,102.311475409836
2023,"male",10,88.1666666666667
2024,"male",10,97.344
1990,"male",15,225.467889908257
1991,"male",15,194.292358803987
1992,"male",15,212.915662650602
1993,"male",15,185.657142857143
1994,"male",15,236.461126005362
1995,"male",15,159.763485477178
1996,"male",15,191.143884892086
1997,"male",15,186.777777777778
1998,"male",15,201.542087542088
1999,"male",15,186.861313868613
2000,"male",15,165.88326848249
2001,"male",15,185.770992366412
2002,"male",15,164.604081632653
2003,"male",15,147.296803652968
2004,"male",15,137.30612244898
2005,"male",15,139.130434782609
2006,"male",15,169.967213114754
2007,"male",15,189.204379562044
2008,"male",15,171.140740740741
2010,"male",15,249.801606595002
2012,"male",15,353.970149253731
2013,"male",15,286.06511627907
2014,"male",15,260.282776349614
2015,"male",15,193.085106382979
2016,"male",15,186.861313868613
2017,"male",15,201.542087542088
2019,"male",15,196.118269503546
2020,"male",15,178.69465648855
2021,"male",15,176.10480349345
2022,"male",15,168.965517241379
2023,"male",15,181.731800766284
2024,"male",15,185.574297188755
1990,"male",20,259.136038186158
1991,"male",20,272.594594594595
1992,"male",20,254.109452736318
1993,"male",20,316.089979550102
1994,"male",20,297.563559322034
1995,"male",20,253.414141414141
1996,"male",20,250
1997,"male",20,294.861538461538
1998,"male",20,258.639175257732
1999,"male",20,217.8753894081
2000,"male",20,222.701449275362
2001,"male",20,229.885057471264
2002,"male",20,249.469816272966
2003,"male",20,213.555555555556
2004,"male",20,195.712280701754
2005,"male",20,233.164835164835
2006,"male",20,201.169435215947
2007,"male",20,213.964809384164
2008,"male",20,213.679525222552
2010,"male",20,311.265154200638
2012,"male",20,453.426336375489
2013,"male",20,398.678571428571
2014,"male",20,374.536332179931
2015,"male",20,317.446088794926
2016,"male",20,280.490654205607
2017,"male",20,293.254545454545
2019,"male",20,274.626995226995
2020,"male",20,291.268623024831
2021,"male",20,332.880694143167
2022,"male",20,305.475663716814
2023,"male",20,316.740124740125
2024,"male",20,288.043902439024
1990,"male",25,306.575963718821
1991,"male",25,317.820895522388
1992,"male",25,250.682382133995
1993,"male",25,293.076923076923
1994,"male",25,306.967462039046
1995,"male",25,218.477064220183
1996,"male",25,235.2
1997,"male",25,247.860465116279
1998,"male",25,257.446808510638
1999,"male",25,259.271820448878
2000,"male",25,230.611764705882
2001,"male",25,253.461333333333
2002,"male",25,274.751243781095
2003,"male",25,265.481481481481
2004,"male",25,227.128048780488
2005,"male",25,275.520833333333
2006,"male",25,237.735849056604
2007,"male",25,257.645
2008,"male",25,284.291262135922
2010,"male",25,359.909625688913
2012,"male",25,454.093663911846
2013,"male",25,375.550255536627
2014,"male",25,348.250980392157
2015,"male",25,281.147540983607
2016,"male",25,279.611650485437
2017,"male",25,307.972665148064
2019,"male",25,326.073653346737
2020,"male",25,369.740402193784
2021,"male",25,403.624382207578
2022,"male",25,372.46408839779
2023,"male",25,349.22265625
2024,"male",25,361.680638722555
1990,"male",30,275.402631578947
1991,"male",30,266.989637305699
1992,"male",30,279.191489361702
1993,"male",30,311.572072072072
1994,"male",30,280.795566502463
1995,"male",30,277.236276849642
1996,"male",30,243.885057471264
1997,"male",30,240.554913294798
1998,"male",30,259.951219512195
1999,"male",30,252.268221574344
2000,"male",30,237.515850144092
2001,"male",30,288.309927360775
2002,"male",30,262.305699481865
2003,"male",30,271.979434447301
2004,"male",30,270.182278481013
2005,"male",30,278.260869565217
2006,"male",30,301.681710213777
2007,"male",30,346.820809248555
2008,"male",30,314.224137931034
2010,"male",30,429.225783134312
2012,"male",30,468.986449864499
2013,"male",30,405.243243243243
2014,"male",30,395.597246127367
2015,"male",30,328.233606557377
2016,"male",30,321.846501128668
2017,"male",30,330.612244897959
2019,"male",30,349.832746035741
2020,"male",30,532.9
2021,"male",30,465.603076923077
2022,"male",30,434.674536256324
2023,"male",30,442.516129032258
2024,"male",30,442.177852348993
1990,"male",35,277.941952506596
1991,"male",35,291.609756097561
1992,"male",35,276.133676092545
1993,"male",35,303.624161073826
1994,"male",35,292.032
1995,"male",35,297.619047619048
1996,"male",35,324.040909090909
1997,"male",35,309.654266958425
1998,"male",35,372.31013916501
1999,"male",35,319.433333333333
2000,"male",35,285.932114882507
2001,"male",35,353.921568627451
2002,"male",35,309.129032258065
2003,"male",35,358.817796610169
2004,"male",35,315.61797752809
2005,"male",35,330.962800875274
2006,"male",35,381.945419103314
2007,"male",35,395.527075812274
2008,"male",35,368.65250965251
2010,"male",35,477.525309108183
2012,"male",35,559.324357405141
2013,"male",35,581.186074429772
2014,"male",35,506.321229050279
2015,"male",35,457.527508090615
2016,"male",35,462.500768049155
2017,"male",35,450.28526645768
2019,"male",35,447.924848484849
2020,"male",35,724.320717131474
2021,"male",35,655.684326710817
2022,"male",35,519.463611859838
2023,"male",35,467.364028776978
2024,"male",35,566.464935064935
1990,"male",40,381.409368635438
1991,"male",40,351.457627118644
1992,"male",40,313.6
1993,"male",40,344.173728813559
1994,"male",40,346.565022421525
1995,"male",40,337.809312638581
1996,"male",40,375.170923379175
1997,"male",40,401.432835820896
1998,"male",40,405.312741312741
1999,"male",40,335.042735042735
2000,"male",40,422.824156305506
2001,"male",40,414.987654320988
2002,"male",40,428.148148148148
2003,"male",40,468.649265905383
2004,"male",40,438.347826086957
2005,"male",40,473.094867807154
2006,"male",40,478.145161290323
2007,"male",40,457.684033613445
2008,"male",40,478.301886792453
2010,"male",40,544.320827426469
2012,"male",40,562.085051546392
2013,"male",40,698.513484358145
2014,"male",40,610.095794392523
2015,"male",40,635.325062034739
2016,"male",40,663.153488372093
2017,"male",40,597.361547762999
2019,"male",40,674.980926080133
2020,"male",40,1111.74949765573
2021,"male",40,995.251732101617
2022,"male",40,728.227822580645
2023,"male",40,743.629015544042
2024,"male",40,698.92050209205
