"year","sex","age","deaths"
1990,"male",0,970
1991,"male",0,816
1992,"male",0,849
1993,"male",0,745
1994,"male",0,683
1995,"male",0,667
1996,"male",0,638
1997,"male",0,670
1998,"male",0,570
1999,"male",0,521
2000,"male",0,526
2001,"male",0,589
2002,"male",0,551
2003,"male",0,518
2004,"male",0,453
2005,"male",0,498
2006,"male",0,424
2007,"male",0,557
2008,"male",0,418
2009,"male",0,459
2010,"male",0,549
2011,"male",0,529
2012,"male",0,746
2013,"male",0,706
2014,"male",0,834
2015,"male",0,739
2016,"male",0,764
2017,"male",0,707
2018,"male",0,637
2019,"male",0,641
2020,"male",0,534
2021,"male",0,570
2022,"male",0,540
2023,"male",0,552
2024,"male",0,479
1990,"male",1,192
1991,"male",1,154
1992,"male",1,113
1993,"male",1,129
1994,"male",1,100
1995,"male",1,103
1996,"male",1,129
1997,"male",1,128
1998,"male",1,88
1999,"male",1,86
2000,"male",1,95
2001,"male",1,95
2002,"male",1,98
2003,"male",1,88
2004,"male",1,104
2005,"male",1,98
2006,"male",1,95
2007,"male",1,101
2008,"male",1,100
2009,"male",1,82
2010,"male",1,78
2011,"male",1,83
2012,"male",1,115
2013,"male",1,98
2014,"male",1,124
2015,"male",1,104
2016,"male",1,117
2017,"male",1,108
2018,"male",1,88
2019,"male",1,104
2020,"male",1,80
2021,"male",1,80
2022,"male",1,96
2023,"male",1,101
2024,"male",1,82
1990,"male",5,82
1991,"male",5,81
1992,"male",5,63
1993,"male",5,74
1994,"male",5,63
1995,"male",5,45
1996,"male",5,81
1997,"male",5,66
1998,"male",5,61
1999,"male",5,58
2000,"male",5,48
2001,"male",5,59
2002,"male",5,60
2003,"male",5,58
2004,"male",5,63
2005,"male",5,58
2006,"male",5,65
2007,"male",5,67
2008,"male",5,77
2009,"male",5,59
2010,"male",5,61
2011,"male",5,56
2012,"male",5,55
2013,"male",5,56
2014,"male",5,72
2015,"male",5,50
2016,"male",5,57
2017,"male",5,50
2018,"male",5,46
2019,"male",5,52
2020,"male",5,63
2021,"male",5,55
2022,"male",5,49
2023,"male",5,64
2024,"male",5,76
1990,"male",10,97
1991,"male",10,97
1992,"male",10,88
1993,"male",10,78
1994,"male",10,68
1995,"male",10,66
1996,"male",10,63
1997,"male",10,61
1998,"male",10,70
1999,"male",10,57
2000,"male",10,76
2001,"male",10,69
2002,"male",10,64
2003,"male",10,70
2004,"male",10,56
2005,"male",10,72
2006,"male",10,75
2007,"male",10,63
2008,"male",10,68
2009,"male",10,73
2010,"male",10,81
2011,"male",10,70
2012,"male",10,89
2013,"male",10,74
2014,"male",10,77
2015,"male",10,82
2016,"male",10,56
2017,"male",10,65
2018,"male",10,68
2019,"male",10,56
2020,"male",10,70
2021,"male",10,55
2022,"male",10,79
2023,"male",10,69
2024,"male",10,78
1990,"male",15,192
1991,"male",15,171
1992,"male",15,188
1993,"male",15,171
1994,"male",15,210
1995,"male",15,139
1996,"male",15,163
1997,"male",15,164
1998,"male",15,173
1999,"male",15,160
2000,"male",15,146
2001,"male",15,156
2002,"male",15,142
2003,"male",15,127
2004,"male",15,116
2005,"male",15,120
