"year","sex","age","deaths"
1990,"male",0,24
1991,"male",0,21
1992,"male",0,22
1993,"male",0,19
1994,"male",0,18
1995,"male",0,17
1996,"male",0,16
1997,"male",0,17
1998,"male",0,15
1999,"male",0,13
2000,"male",0,13
2001,"male",0,15
2002,"male",0,14
2003,"male",0,13
2004,"male",0,12
2005,"male",0,12
2006,"male",0,11
2007,"male",0,15
2008,"male",0,11
2009,"male",0,12
2010,"male",0,14
2011,"male",0,14
2012,"male",0,19
2013,"male",0,18
2014,"male",0,21
2015,"male",0,19
2016,"male",0,20
2017,"male",0,18
2018,"male",0,17
2019,"male",0,16
2020,"male",0,14
2021,"male",0,14
2022,"male",0,14
2023,"male",0,14
2024,"male",0,12
1990,"male",1,5
1991,"male",1,4
1992,"male",1,3
1993,"male",1,4
1994,"male",1,3
1995,"male",1,3
1996,"male",1,3
1997,"male",1,3
1998,"male",1,2
1999,"male",1,2
2000,"male",1,2
2001,"male",1,2
2002,"male",1,2
2003,"male",1,2
2004,"male",1,3
2005,"male",1,3
2006,"male",1,2
2007,"male",1,3
2008,"male",1,3
2009,"male",1,2
2010,"male",1,2
2011,"male",1,2
2012,"male",1,3
2013,"male",1,2
2014,"male",1,3
2015,"male",1,3
2016,"male",1,3
2017,"male",1,3
2018,"male",1,2
2019,"male",1,3
2020,"male",1,2
2021,"male",1,2
2022,"male",1,2
2023,"male",1,3
2024,"male",1,2
1990,"male",5,2
1991,"male",5,2
1992,"male",5,2
1993,"male",5,2
1994,"male",5,2
1995,"male",5,1
1996,"male",5,2
1997,"male",5,2
1998,"male",5,2
1999,"male",5,2
2000,"male",5,1
2001,"male",5,1
2002,"male",5,2
2003,"male",5,1
2004,"male",5,2
2005,"male",5,2
2006,"male",5,2
2007,"male",5,2
2008,"male",5,2
2009,"male",5,2
2010,"male",5,2
2011,"male",5,1
2012,"male",5,1
2013,"male",5,1
2014,"male",5,2
2015,"male",5,1
2016,"male",5,1
2017,"male",5,1
2018,"male",5,1
2019,"male",5,1
2020,"male",5,2
2021,"male",5,1
2022,"male",5,1
2023,"male",5,2
2024,"male",5,2
1990,"male",10,2
1991,"male",10,2
1992,"male",10,2
1993,"male",10,2
1994,"male",10,2
1995,"male",10,2
1996,"male",10,1
1997,"male",10,1
1998,"male",10,2
1999,"male",10,1
2000,"male",10,2
2001,"male",10,2
2002,"male",10,2
2003,"male",10,2
2004,"male",10,1
2005,"male",10,2
2006,"male",10,2
2007,"male",10,2
2008,"male",10,2
2009,"male",10,2
2010,"male",10,2
2011,"male",10,2
2012,"male",10,2
2013,"male",10,2
2014,"male",10,2
2015,"male",10,2
2016,"male",10,1
2017,"male",10,2
2018,"male",10,2
2019,"male",10,1
2020,"male",10,2
2021,"male",10,1
2022,"male",10,2
2023,"male",10,2
2024,"male",10,2
1990,"male",15,41
1991,"male",15,35
1992,"male",15,38
1993,"male",15,33
1994,"male",15,43
1995,"male",15,29
1996,"male",15,34
1997,"male",15,34
1998,"male",15,36
1999,"male",15,34
2000,"male",15,30
2001,"male",15,33
2002,"male",15,30
2003,"male",15,27
2004,"male",15,25
2005,"male",15,25
2006,"male",15,31
2007,"male",15,34
2008,"male",15,31
2009,"male",15,41
2010,"male",15,44
2011,"male",15,49
2012,"male",15,64
2013,"male",15,51
2014,"male",15,47
2015,"male",15,35
2016,"male",15,34
2017,"male",15,36
2018,"male",15,37
2019,"male",15,34
2020,"male",15,32
2021,"male",15,32
2022,"male",15,30
2023,"male",15,33
2024,"male",15,33
1990,"male",20,47
1991,"male",20,49
1992,"male",20,46
1993,"male",20,57
1994,"male",20,54
1995,"male",20,46
1996,"male",20,45
1997,"male",20,53
1998,"male",20,47
1999,"male",20,39
2000,"male",20,40
2001,"male",20,41
2002,"male",20,45
2003,"male",20,38
2004,"male",20,35
2005,"male",20,42
2006,"male",20,36
2007,"male",20,39
2008,"male",20,38
2009,"male",20,48
2010,"male",20,52
2011,"male",20,67
2012,"male",20,82
2013,"male",20,72
2014,"male",20,67
2015,"male",20,57
2016,"male",20,50
2017,"male",20,53
2018,"male",20,44
2019,"male",20,54
2020,"male",20,52
2021,"male",20,60
2022,"male",20,55
2023,"male",20,57
2024,"male",20,52
1990,"male",25,55
1991,"male",25,57
1992,"male",25,45
1993,"male",25,53
1994,"male",25,55
1995,"male",25,39
1996,"male",25,42
1997,"male",25,45
1998,"male",25,46
1999,"male",25,47
2000,"male",25,42
2001,"male",25,46
2002,"male",25,49
2003,"male",25,48
2004,"male",25,41
2005,"male",25,50
2006,"male",25,43
2007,"male",25,46
2008,"male",25,51
2009,"male",25,59
2010,"male",25,67
2011,"male",25,69
2012,"male",25,82
2013,"male",25,68
2014,"male",25,63
2015,"male",25,51
2016,"male",25,50
2017,"male",25,55
2018,"male",25,55
2019,"male",25,62
2020,"male",25,67
2021,"male",25,73
2022,"male",25,67
2023,"male",25,63
2024,"male",25,65
1990,"male",30,50
1991,"male",30,48
1992,"male",30,50
1993,"male",30,56
1994,"male",30,51
1995,"male",30,50
1996,"male",30,44
1997,"male",30,43
1998,"male",30,47
1999,"male",30,45
2000,"male",30,43
2001,"male",30,52
2002,"male",30,47
2003,"male",30,49
2004,"male",30,49
2005,"male",30,50
2006,"male",30,54
2007,"male",30,62
2008,"male",30,57
2009,"male",30,73
2010,"male",30,78
2011,"male",30,81
2012,"male",30,84
2013,"male",30,73
2014,"male",30,71
2015,"male",30,59
2016,"male",30,58
2017,"male",30,60
2018,"male",30,58
2019,"male",30,68
2020,"male",30,96
2021,"male",30,84
