"year","age","sex","N","deaths","mx","ax","qx","lx","dx","Lx","Tx","ex"
2010,5,"F",134913.110990511,46.8282828282828,0.000347,0.5,0.000347,1e+05,35,99983,1957084,19.57
2010,10,"F",134055.676163066,54.4426229508197,0.000406,0.5,0.000406,99965,41,99945,1857102,18.58
2010,15,"F",131448.080549509,175,0.001331,0.5,0.00133,99925,133,99858,1757157,17.58
2010,20,"F",116472.245461473,229.247311827957,0.001968,0.5,0.001966,99792,196,99694,1657298,16.61
2010,25,"F",107659.055848972,288.960817717206,0.002684,0.5,0.00268,99596,267,99462,1557605,15.64
2010,30,"F",111926.981802877,320.317557251908,0.002862,0.5,0.002858,99329,284,99187,1458143,14.68
2010,35,"F",110058.09383624,369.217847769029,0.003355,0.5,0.003349,99045,332,98879,1358956,13.72
2010,40,"F",92611.9269072648,331.868383404864,0.003583,0.5,0.003577,98713,353,98536,1260077,12.77
2010,45,"F",78595.9695635152,452.184265010352,0.005753,0.5,0.005737,98360,564,98078,1161541,11.81
2010,50,"F",66093.3478715499,599.4984375,0.00907,0.5,0.00903,97796,883,97354,1063463,10.87
2010,55,"F",48976.0071786487,694.901909150757,0.014189,0.5,0.014089,96913,1365,96230,966109,9.97
2010,60,"F",40708.7321495145,850.163066954644,0.020884,0.5,0.020668,95547,1975,94560,869879,9.1
2010,65,"F",29306.2119750417,947.05596107056,0.032316,0.5,0.031802,93572,2976,92085,775319,8.29
2010,70,"F",22784.8575714465,1063.49658119658,0.046676,0.5,0.045611,90597,4132,88531,683234,7.54
2010,75,"F",14644.6630358466,1078.56532877882,0.073649,0.5,0.071033,86464,6142,83393,594704,6.88
2010,80,"F",9582.48833582941,1039.08344141807,0.108436,0.5,0.102859,80323,8262,76192,511310,6.37
2010,85,"F",7740.17763929388,1281.86267491051,0.165612,0.5,1,72061,72061,435119,435119,6.04
2010,5,"M",140019.302500579,75.1717171717172,0.000537,0.5,0.000537,1e+05,54,99973,1561705,15.62
